,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
43,obama is going to bring about the armageddon,"[obama, go, bring, armageddon]",0.0,0.0,america should not rule the philippines,"[america, rule, philippin]",0.0,0.0
44,obama should be scared,"[obama, scare]",0.0,0.5,america should be the world's policeman,"[america, world', policeman]",0.0,0.0
45,obama is gog,"[obama, gog]",0.0,0.0,america should leave nato,"[america, leav, nato]",0.0,0.0
46,obama is a useless leader,"[obama, useless, leader]",0.0,0.333333333333,america should not be the world police,"[america, world, polic]",0.0,0.0
47,obama is sleeper cell,"[obama, sleeper, cell]",0.0,0.0,america should split up,"[america, split]",0.0,0.0
48,obama is going to stay in power,"[obama, go, stay, power]",0.0,0.0,america should contain the soviet union,"[america, contain, soviet, union]",0.0,0.0
49,obama is a crypto muslim,"[obama, crypto, muslim]",0.0,0.0,america should regulate bullets,"[america, regul, bullet]",0.0,0.0
50,obama is a foreign policy disaster,"[obama, foreign, polici, disast]",0.0,0.0,america is doing just fine,"[america, fine]",0.5,0.0
51,obama is the 45 president,"[obama, 45, presid]",0.0,0.0,america is doing great,"[america, great]",0.5,0.0
52,obama is mahdi,"[obama, mahdi]",0.0,0.0,america is doing well,"[america, well]",0.5,0.0
53,obama is kim jong un,"[obama, kim, jong, un]",0.0,0.0,america is doing better,"[america, better]",0.5,0.0
54,obama is a piece of shiite,"[obama, piec, shiit]",0.0,0.0,is america doing anything about isis,"[america, anyth, isi]",0.0,0.0
55,obama is a,[obama],0.0,0.0,is america doing enough to address domestic terrorism,"[america, enough, address, domest, terror]",0.0,0.2
56,obama is from,[obama],0.0,0.0,is america doing better than europe,"[america, better, europ]",0.333333333333,0.0
57,the united states is still a british colony,"[unit, state, still, british, coloni]",0.0,0.0,is america doing the purge,"[america, purg]",0.0,0.0
58,the united states is an oligarchy,"[unit, state, oligarchi]",0.0,0.0,is america doing good,"[america, good]",0.5,0.0
59,,[],0.0,0.0,is america doing enough to stop isis,"[america, enough, stop, isi]",0.0,0.0
60,,[],0.0,0.0,america should be the world's policeman,"[america, world', policeman]",0.0,0.0
61,,[],0.0,0.0,america should be white,"[america, white]",0.0,0.0
62,,[],0.0,0.0,america should be a christian theocracy,"[america, christian, theocraci]",0.0,0.0
63,,[],0.0,0.0,america should be more like europe,"[america, like, europ]",0.333333333333,0.0
64,,[],0.0,0.0,america should be ashamed,"[america, asham]",0.0,0.5
65,,[],0.0,0.0,america should be a theocracy,"[america, theocraci]",0.0,0.0
66,,[],0.0,0.0,america should be destroyed,"[america, destroy]",0.0,0.5
67,,[],0.0,0.0,america should be segregated,"[america, segreg]",0.0,0.0
68,,[],0.0,0.0,america should be isolationist,"[america, isolationist]",0.0,0.0
69,,[],0.0,0.0,america should be socialist,"[america, socialist]",0.0,0.0
70,,[],0.0,0.0,america is doomed,"[america, doom]",0.0,0.5
71,,[],0.0,0.0,america is already great,"[america, alreadi, great]",0.333333333333,0.0
72,,[],0.0,0.0,america is in the heart,"[america, heart]",0.0,0.0
73,,[],0.0,0.0,america is an oligarchy,"[america, oligarchi]",0.0,0.0
74,,[],0.0,0.0,america is not a democracy,"[america, democraci]",0.0,0.0
75,,[],0.0,0.0,america is a melting pot,"[america, melt, pot]",0.0,0.0
76,,[],0.0,0.0,america is babylon,"[america, babylon]",0.0,0.0
77,,[],0.0,0.0,america is great,"[america, great]",0.5,0.0
78,,[],0.0,0.0,america is falling apart,"[america, fall, apart]",0.0,0.0
79,,[],0.0,0.0,america is a christian nation,"[america, christian, nation]",0.0,0.0
80,,[],0.0,0.0,barack obama should be re elected,"[barack, obama, re, elect]",0.0,0.0
81,,[],0.0,0.0,barack obama should be impeached,"[barack, obama, impeach]",0.0,0.0
82,,[],0.0,0.0,barack obama should resign,"[barack, obama, resign]",0.0,0.333333333333
83,,[],0.0,0.0,barack obama we should be ashamed,"[barack, obama, asham]",0.0,0.333333333333
84,,[],0.0,0.0,why barack obama should be president,"[barack, obama, presid]",0.0,0.0
85,,[],0.0,0.0,what barack obama is doing now,"[barack, obama]",0.0,0.0
86,,[],0.0,0.0,barack obama doing the ice bucket challenge,"[barack, obama, ice, bucket, challeng]",0.2,0.0
87,,[],0.0,0.0,barack obama doing the dougie,"[barack, obama, dougi]",0.0,0.0
88,,[],0.0,0.0,barack obama doing gangnam style,"[barack, obama, gangnam, style]",0.0,0.0
89,,[],0.0,0.0,barack obama doing amway business,"[barack, obama, amway, busi]",0.0,0.0
90,,[],0.0,0.0,barack obama doing the nae nae,"[barack, obama, nae, nae]",0.0,0.0
91,,[],0.0,0.0,barack obama doing today,"[barack, obama, today]",0.0,0.0
92,,[],0.0,0.0,barack obama doing the dougie on ellen,"[barack, obama, dougi, ellen]",0.0,0.0
93,,[],0.0,0.0,barack obama doing the ice challenge,"[barack, obama, ice, challeng]",0.25,0.0
94,,[],0.0,0.0,barack obama doing the dougie dance,"[barack, obama, dougi, danc]",0.0,0.0
95,,[],0.0,0.0,barack obama should be re elected,"[barack, obama, re, elect]",0.0,0.0
96,,[],0.0,0.0,barack obama should be impeached,"[barack, obama, impeach]",0.0,0.0
97,,[],0.0,0.0,barack obama we should be ashamed,"[barack, obama, asham]",0.0,0.333333333333
98,,[],0.0,0.0,why barack obama should be president,"[barack, obama, presid]",0.0,0.0
99,,[],0.0,0.0,why should barack obama be remembered,"[barack, obama, rememb]",0.0,0.0
100,,[],0.0,0.0,why should barack obama be reelected,"[barack, obama, reelect]",0.0,0.0
101,,[],0.0,0.0,barack obama is the president,"[barack, obama, presid]",0.0,0.0
102,,[],0.0,0.0,barack obama is dead,"[barack, obama, dead]",0.0,0.0
103,,[],0.0,0.0,barack obama is left handed,"[barack, obama, left, hand]",0.0,0.0
104,,[],0.0,0.0,barack obama is malcolm x son,"[barack, obama, malcolm, x, son]",0.0,0.0
105,,[],0.0,0.0,barack obama is a good leader,"[barack, obama, good, leader]",0.25,0.0
106,,[],0.0,0.0,barack obama is important because,"[barack, obama, import]",0.0,0.0
107,,[],0.0,0.0,barack obama is a socialist,"[barack, obama, socialist]",0.0,0.0
108,,[],0.0,0.0,barack obama is irish,"[barack, obama, irish]",0.0,0.0
109,,[],0.0,0.0,barack obama is cool,"[barack, obama, cool]",0.333333333333,0.0
110,,[],0.0,0.0,barack obama is from kenya,"[barack, obama, kenya]",0.0,0.0
111,,[],0.0,0.0,obama should be a comedian,"[obama, comedian]",0.0,0.0
112,,[],0.0,0.0,obama should be tried,"[obama, tri]",0.0,0.0
113,,[],0.0,0.0,obama should run for 3rd term,"[obama, run, 3rd, term]",0.0,0.0
114,,[],0.0,0.0,obama should stay president,"[obama, stay, presid]",0.0,0.0
115,,[],0.0,0.0,obama should attend funeral,"[obama, attend, funer]",0.0,0.0
116,,[],0.0,0.0,obama is doing nothing about ebola,"[obama, noth, ebola]",0.0,0.0
117,,[],0.0,0.0,obama is doing amway,"[obama, amway]",0.0,0.0
118,,[],0.0,0.0,obama is doing the right thing,"[obama, right, thing]",0.0,0.0
119,,[],0.0,0.0,is obama doing this on purpose,"[obama, purpos]",0.0,0.0
120,,[],0.0,0.0,is obama doing anything about ebola,"[obama, anyth, ebola]",0.0,0.0
121,,[],0.0,0.0,obama should be a comedian,"[obama, comedian]",0.0,0.0
122,,[],0.0,0.0,obama should be tried,"[obama, tri]",0.0,0.0
123,,[],0.0,0.0,obama should be a stand up comedian,"[obama, stand, comedian]",0.0,0.0
124,,[],0.0,0.0,obama should be supreme court justice,"[obama, suprem, court, justic]",0.25,0.0
125,,[],0.0,0.0,obama should be president forever,"[obama, presid, forev]",0.0,0.0
126,,[],0.0,0.0,obama should be impeached because,"[obama, impeach]",0.0,0.0
127,,[],0.0,0.0,obama should be deported,"[obama, deport]",0.0,0.0
128,,[],0.0,0.0,obama should be impeached now,"[obama, impeach]",0.0,0.0
129,,[],0.0,0.0,obama is osama,"[obama, osama]",0.0,0.0
130,,[],0.0,0.0,obama is a cactus,"[obama, cactu]",0.0,0.0
131,,[],0.0,0.0,obama is gog,"[obama, gog]",0.0,0.0
132,,[],0.0,0.0,obama is democrat,"[obama, democrat]",0.0,0.0
133,,[],0.0,0.0,obama is dead,"[obama, dead]",0.0,0.0
134,,[],0.0,0.0,obama is the best president,"[obama, best, presid]",0.333333333333,0.0
135,,[],0.0,0.0,obama is awesome,"[obama, awesom]",0.0,0.0
136,,[],0.0,0.0,obama is a robot,"[obama, robot]",0.0,0.0
137,,[],0.0,0.0,obama is the best,"[obama, best]",0.5,0.0
138,,[],0.0,0.0,obama is osama bin laden,"[obama, osama, bin, laden]",0.0,0.0
139,,[],0.0,0.0,the united states should adopt a carbon tax,"[unit, state, adopt, carbon, tax]",0.0,0.0
140,,[],0.0,0.0,the united states should withdraw military presence from okinawa,"[unit, state, withdraw, militari, presenc, okinawa]",0.0,0.0
141,,[],0.0,0.0,the united states should withdraw troops from okinawa,"[unit, state, withdraw, troop, okinawa]",0.0,0.0
142,,[],0.0,0.0,the united states should ban the death penalty,"[unit, state, ban, death, penalti]",0.0,0.0
143,,[],0.0,0.0,the united states should promote democracy overseas,"[unit, state, promot, democraci, oversea]",0.0,0.0
144,,[],0.0,0.0,the united states should lower the voting age,"[unit, state, lower, vote, age]",0.0,0.0
145,,[],0.0,0.0,the united states should break up,"[unit, state, break]",0.0,0.0
146,,[],0.0,0.0,the united states should stay in okinawa,"[unit, state, stay, okinawa]",0.0,0.0
147,,[],0.0,0.0,the united states should pay reparations for slavery,"[unit, state, pay, repar, slaveri]",0.0,0.0
148,,[],0.0,0.0,the united states should switch to the metric system,"[unit, state, switch, metric, system]",0.0,0.0
149,,[],0.0,0.0,what the united states is doing about isis,"[unit, state, isi]",0.0,0.0
150,,[],0.0,0.0,what the united states is doing to stop global warming,"[unit, state, stop, global, warm]",0.2,0.0
151,,[],0.0,0.0,is the united states doing anything about isis,"[unit, state, anyth, isi]",0.0,0.0
152,,[],0.0,0.0,is the united states doing enough to stop isis,"[unit, state, enough, stop, isi]",0.0,0.0
153,,[],0.0,0.0,what is the united states doing about ebola,"[unit, state, ebola]",0.0,0.0
154,,[],0.0,0.0,what is the united states doing to help fight ebola,"[unit, state, help, fight, ebola]",0.0,0.2
155,,[],0.0,0.0,what is the united states doing to stop isis,"[unit, state, stop, isi]",0.0,0.0
156,,[],0.0,0.0,what is the united states doing about syria,"[unit, state, syria]",0.0,0.0
157,,[],0.0,0.0,what is the united states doing about ukraine,"[unit, state, ukrain]",0.0,0.0
158,,[],0.0,0.0,what is the united states doing about global warming,"[unit, state, global, warm]",0.25,0.0
159,,[],0.0,0.0,the united states should be isolationist,"[unit, state, isolationist]",0.0,0.0
160,,[],0.0,0.0,who thought the united states should be a naval power,"[thought, unit, state, naval, power]",0.0,0.0
161,,[],0.0,0.0,the united states should pay reparations for slavery,"[unit, state, pay, repar, slaveri]",0.0,0.0
162,,[],0.0,0.0,the united states should not intervene in syria,"[unit, state, interven, syria]",0.0,0.0
163,,[],0.0,0.0,the united states should increase minimum wage,"[unit, state, increas, minimum, wage]",0.0,0.0
164,,[],0.0,0.0,the united states should not intervene in foreign wars,"[unit, state, interven, foreign, war]",0.0,0.2
165,,[],0.0,0.0,the united states should not restrict immigration,"[unit, state, restrict, immigr]",0.0,0.0
166,,[],0.0,0.0,the united states should intervene in syria,"[unit, state, interven, syria]",0.0,0.0
167,,[],0.0,0.0,the united states should eliminate agricultural subsidies,"[unit, state, elimin, agricultur, subsidi]",0.0,0.0
168,,[],0.0,0.0,the united states should withdraw troops from afghanistan,"[unit, state, withdraw, troop, afghanistan]",0.0,0.0
169,,[],0.0,0.0,the united states is multicultural because,"[unit, state, multicultur]",0.0,0.0
170,,[],0.0,0.0,the united states is a republic,"[unit, state, republ]",0.0,0.0
171,,[],0.0,0.0,the united states is an example of what type of government,"[unit, state, exampl, type, govern]",0.0,0.0
172,,[],0.0,0.0,the united states is an example of which governmental system,"[unit, state, exampl, government, system]",0.0,0.0
173,,[],0.0,0.0,the united states is a constitutional,"[unit, state, constitut]",0.0,0.0
174,,[],0.0,0.0,the united states is a,"[unit, state]",0.0,0.0
175,,[],0.0,0.0,the united states is a corporation,"[unit, state, corpor]",0.0,0.0
176,,[],0.0,0.0,the united states is a major producer of what element,"[unit, state, major, produc, element]",0.0,0.0
177,,[],0.0,0.0,the united states is multicultural because quizlet,"[unit, state, multicultur, quizlet]",0.0,0.0
178,,[],0.0,0.0,the united states is an example of what type of economy,"[unit, state, exampl, type, economi]",0.0,0.0
