,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
20,,[],0.0,0.0,сша должны быть разрушены,"[сша, должны, быть, разрушены]",0.0,0.0
21,,[],0.0,0.0,сша должны быть уничтожены,"[сша, должны, быть, уничтожены]",0.0,0.0
22,,[],0.0,0.0,великий вождь сша должны быть разрушены,"[великий, вождь, сша, должны, быть, разрушены]",0.0,0.0
23,,[],0.0,0.0,америка должна китаю,"[америка, должна, китаю]",0.0,0.0
24,,[],0.0,0.0,америка должна россии,"[америка, должна, россии]",0.0,0.0
25,,[],0.0,0.0,америка должна быть уничтожена,"[америка, должна, быть, уничтожена]",0.0,0.0
26,,[],0.0,0.0,америка должна всему миру,"[америка, должна, всему, миру]",0.0,0.0
27,,[],0.0,0.0,американцы должны умереть,"[американцы, должны, умереть]",0.0,0.0
28,,[],0.0,0.0,америка должна,"[америка, должна]",0.0,0.0
29,,[],0.0,0.0,америка должна сама себе,"[америка, должна, сама, себе]",0.0,0.0
30,,[],0.0,0.0,америка должна китаю золото,"[америка, должна, китаю, золото]",0.0,0.0
31,,[],0.0,0.0,америка должна умереть,"[америка, должна, умереть]",0.0,0.0
32,,[],0.0,0.0,америка должна сдохнуть,"[америка, должна, сдохнуть]",0.0,0.0
33,,[],0.0,0.0,america makes,"[america, make]",0.0,0.0
34,,[],0.0,0.0,america makes members,"[america, make, member]",0.0,0.0
35,,[],0.0,0.0,america makes namii,"[america, make, namii]",0.0,0.0
36,,[],0.0,0.0,america makes institute,"[america, make, institut]",0.0,0.0
37,,[],0.0,0.0,американцы делают обрезание,"[американцы, делают, обрезание]",0.0,0.0
38,,[],0.0,0.0,america makes us,"[america, make, us]",0.0,0.0
39,,[],0.0,0.0,america makes money from war,"[america, make, money, war]",0.0,0.25
40,,[],0.0,0.0,американцы делают попытку,"[американцы, делают, попытку]",0.0,0.0
41,,[],0.0,0.0,america makes youngstown,"[america, make, youngstown]",0.0,0.0
42,,[],0.0,0.0,america makes fast quilts,"[america, make, fast, quilt]",0.0,0.0
43,,[],0.0,0.0,америка должна быть уничтожена,"[америка, должна, быть, уничтожена]",0.0,0.0
44,,[],0.0,0.0,сша должны быть уничтожены,"[сша, должны, быть, уничтожены]",0.0,0.0
45,,[],0.0,0.0,barack obama makes history,"[barack, obama, make, histori]",0.0,0.0
46,,[],0.0,0.0,barack obama makes fun of donald trump,"[barack, obama, make, fun, donald, trump]",0.166666666667,0.0
47,,[],0.0,0.0,barack obama makes me sick,"[barack, obama, make, sick]",0.0,0.0
48,,[],0.0,0.0,barack obama makes baby stop crying,"[barack, obama, make, babi, stop, cri]",0.0,0.0
49,,[],0.0,0.0,barack obama makes a difference,"[barack, obama, make, differ]",0.0,0.0
50,,[],0.0,0.0,barack obama makes fun of himself,"[barack, obama, make, fun]",0.25,0.0
51,,[],0.0,0.0,barack obama makes fun of the bible,"[barack, obama, make, fun, bibl]",0.2,0.0
52,,[],0.0,0.0,barack obama makes a joke,"[barack, obama, make, joke]",0.25,0.0
53,,[],0.0,0.0,barack obama makes fun of kim kardashian,"[barack, obama, make, fun, kim, kardashian]",0.166666666667,0.0
54,,[],0.0,0.0,barack obama makes surprise visit to afghanistan,"[barack, obama, make, surpris, visit, afghanistan]",0.166666666667,0.0
55,,[],0.0,0.0,obama makes history,"[obama, make, histori]",0.0,0.0
56,,[],0.0,0.0,obama makes fun of putin,"[obama, make, fun, putin]",0.25,0.0
57,,[],0.0,0.0,obama makes statement today,"[obama, make, statement, today]",0.0,0.0
58,,[],0.0,0.0,obama makes fun of trump,"[obama, make, fun, trump]",0.25,0.0
59,,[],0.0,0.0,obama makes deal with iran,"[obama, make, deal, iran]",0.0,0.0
60,,[],0.0,0.0,obama makes racial slur,"[obama, make, racial, slur]",0.0,0.0
61,,[],0.0,0.0,obama makes community college free,"[obama, make, commun, colleg, free]",0.2,0.0
62,,[],0.0,0.0,obama makes me puke,"[obama, make, puke]",0.0,0.0
63,,[],0.0,0.0,obama makes december 26 a holiday,"[obama, make, decemb, 26, holiday]",0.0,0.0
64,,[],0.0,0.0,obama makes fun of donald trump,"[obama, make, fun, donald, trump]",0.2,0.0
